,time,open,close,high,low,volume
0,09 11:01,0.7477,0.74761,0.7477,0.74761,0.08
1,09 11:02,0.74756,0.74758,0.74764,0.74744,0.11
2,09 11:03,0.7476,0.7476,0.7476,0.7476,0.01
3,09 11:04,0.74766,0.74764,0.74771,0.74762,0.11
4,09 11:05,0.74764,0.74758,0.74764,0.74758,0.04
5,09 11:06,0.74763,0.74768,0.74771,0.74763,0.04
6,09 11:07,0.74764,0.74764,0.74769,0.74764,0.05
7,09 11:08,0.74769,0.74768,0.74769,0.74768,0.02
8,09 11:09,0.74772,0.74772,0.74772,0.74772,0.01
9,09 11:10,0.74768,0.74776,0.7478,0.74768,0.04
10,09 11:11,0.74782,0.74772,0.74782,0.74772,0.04
11,09 11:13,0.74768,0.74774,0.74774,0.74768,0.02
12,09 11:14,0.7477,0.7477,0.7477,0.7477,0.01
13,09 11:15,0.74766,0.74765,0.74766,0.74762,0.03
14,09 11:16,0.74768,0.74771,0.74776,0.74768,0.05
15,09 11:17,0.74766,0.7479,0.7479,0.74766,0.08
16,09 11:18,0.74794,0.74772,0.74794,0.74772,0.06
17,09 11:19,0.74766,0.7477,0.7477,0.74766,0.02
18,09 11:20,0.74774,0.74762,0.74774,0.74756,0.08
19,09 11:21,0.74761,0.7476,0.74761,0.7476,0.03
20,09 11:22,0.74757,0.74762,0.74762,0.74752,0.05
21,09 11:23,0.74766,0.74754,0.74766,0.74754,0.03
22,09 11:25,0.74749,0.74744,0.74749,0.74744,0.03
23,09 11:26,0.74748,0.74748,0.74748,0.74748,0.01
24,09 11:28,0.74752,0.74746,0.74752,0.74746,0.02
25,09 11:29,0.74746,0.74748,0.74753,0.74746,0.04
26,09 11:30,0.74752,0.74762,0.74762,0.74752,0.04
27,09 11:31,0.74756,0.74756,0.74756,0.74756,0.01
28,09 11:32,0.7476,0.74768,0.74768,0.7476,0.09
29,09 11:33,0.74763,0.74762,0.74768,0.74762,0.06
30,09 11:34,0.74764,0.74772,0.74776,0.74764,0.16
31,09 11:35,0.74775,0.74772,0.74786,0.74772,0.08
32,09 11:36,0.74768,0.74774,0.74778,0.74768,0.04
33,09 11:37,0.7477,0.74781,0.74781,0.7477,0.11
34,09 11:38,0.74785,0.74792,0.74792,0.74779,0.13
35,09 11:39,0.74786,0.74782,0.74788,0.74781,0.06
36,09 11:40,0.74783,0.7479,0.74792,0.74783,0.09
37,09 11:41,0.74786,0.74779,0.74786,0.74779,0.03
38,09 11:42,0.74782,0.74782,0.74786,0.7478,0.04
39,09 11:43,0.74778,0.74774,0.74778,0.74774,0.02
40,09 11:44,0.7478,0.74776,0.7478,0.74776,0.02
41,09 11:45,0.74772,0.74794,0.74794,0.74772,0.05
42,09 11:46,0.74793,0.74798,0.748,0.74793,0.05
43,09 11:47,0.74804,0.74804,0.74811,0.74798,0.11
44,09 11:49,0.74804,0.74794,0.74809,0.74794,0.08
45,09 11:50,0.7479,0.74795,0.74795,0.7479,0.02
46,09 11:51,0.74794,0.74804,0.74809,0.74793,0.14
47,09 11:52,0.74806,0.74792,0.74806,0.74792,0.06
48,09 11:54,0.74788,0.74792,0.74794,0.74788,0.03
49,09 11:55,0.74798,0.74804,0.74804,0.74798,0.02
50,09 11:56,0.74798,0.74792,0.74798,0.74792,0.02
51,09 11:57,0.74787,0.74776,0.7479,0.74776,0.06
52,09 11:58,0.7478,0.74788,0.74788,0.7478,0.03
53,09 11:59,0.74791,0.74802,0.74802,0.74791,0.04
54,09 12:00,0.74796,0.74806,0.74806,0.74796,0.07
55,09 12:01,0.748,0.74804,0.74804,0.748,0.02
56,09 12:02,0.748,0.74792,0.748,0.74792,0.03
57,09 12:03,0.74798,0.74802,0.74808,0.74796,0.06
58,09 12:04,0.74802,0.74802,0.74808,0.74802,0.11
59,09 12:05,0.74804,0.7482,0.7482,0.74802,0.12
60,09 12:06,0.74815,0.74808,0.74815,0.748,0.1
61,09 12:07,0.74811,0.74811,0.74811,0.74811,0.01
62,09 12:08,0.74815,0.74811,0.74815,0.7481,0.04
63,09 12:10,0.74814,0.74832,0.74837,0.74814,0.12
64,09 12:11,0.74828,0.74826,0.7483,0.74822,0.06
65,09 12:12,0.74826,0.74828,0.74828,0.74826,0.03
66,09 12:13,0.7483,0.7483,0.7483,0.7483,0.02
67,09 12:15,0.74834,0.7483,0.74834,0.7483,0.02
68,09 12:16,0.74826,0.74821,0.74826,0.7482,0.06
69,09 12:17,0.74815,0.74812,0.74815,0.74812,0.02
70,09 12:18,0.74808,0.74796,0.74808,0.7479,0.07
71,09 12:19,0.74796,0.74792,0.74801,0.74792,0.05
72,09 12:20,0.74795,0.74806,0.74806,0.74795,0.04
73,09 12:21,0.74802,0.74798,0.74802,0.74798,0.02
