,time,open,close,high,low,volume
0,09 15:23,1.17496,1.175,1.175,1.17494,0.76
1,09 15:24,1.17502,1.17478,1.17502,1.17476,1.88
2,09 15:25,1.17479,1.175,1.17504,1.17479,1.39
3,09 15:26,1.17504,1.17496,1.17513,1.17489,1.7
4,09 15:27,1.17496,1.17494,1.175,1.1748,2.3
5,09 15:28,1.17494,1.17498,1.17501,1.17488,0.59
6,09 15:29,1.175,1.17486,1.17502,1.1747,1.69
7,09 15:30,1.17486,1.17456,1.1749,1.17438,2.46
8,09 15:31,1.17456,1.17456,1.17458,1.17442,1.4
9,09 15:32,1.17458,1.17472,1.1748,1.17454,1.13
10,09 15:33,1.1747,1.17479,1.1748,1.17455,1.16
11,09 15:34,1.17475,1.17491,1.17496,1.17475,2.27
12,09 15:35,1.17494,1.17482,1.17496,1.17472,0.95
13,09 15:36,1.17482,1.1749,1.1749,1.17463,1.25
14,09 15:37,1.17489,1.17468,1.17489,1.17468,0.82
15,09 15:38,1.17468,1.17487,1.17488,1.17468,1.09
16,09 15:39,1.17488,1.17478,1.17489,1.17472,1.03
17,09 15:40,1.17478,1.17462,1.1748,1.1745,0.76
18,09 15:41,1.17461,1.17464,1.17474,1.17459,0.74
19,09 15:42,1.17464,1.17472,1.17472,1.17448,1.25
20,09 15:43,1.17471,1.17464,1.17472,1.17451,2.33
21,09 15:44,1.17464,1.17464,1.17474,1.1745,1.78
22,09 15:45,1.17465,1.17455,1.17478,1.17455,1.01
23,09 15:46,1.17454,1.17466,1.17468,1.1744,1.35
24,09 15:47,1.17464,1.17454,1.17464,1.17448,1.36
25,09 15:48,1.17454,1.17439,1.17455,1.17424,2.05
26,09 15:49,1.17441,1.1744,1.17446,1.17429,1.02
27,09 15:50,1.17442,1.1745,1.17453,1.17428,1.8
28,09 15:51,1.17448,1.17448,1.1745,1.17436,0.83
29,09 15:52,1.17445,1.17438,1.17448,1.17426,0.88
30,09 15:53,1.17438,1.17424,1.17446,1.17422,1.17
31,09 15:54,1.17424,1.1743,1.17438,1.17422,0.63
32,09 15:55,1.17434,1.1745,1.17454,1.17432,1.59
33,09 15:56,1.17448,1.17442,1.17455,1.1744,1.51
34,09 15:57,1.17441,1.1744,1.17447,1.17438,0.61
35,09 15:58,1.17442,1.17419,1.17442,1.17414,2.49
36,09 15:59,1.1742,1.17448,1.17449,1.17405,6.03
37,09 16:00,1.17448,1.17445,1.1745,1.17422,4.53
38,09 16:01,1.17444,1.17451,1.17452,1.17426,2.86
39,09 16:02,1.17451,1.17433,1.17451,1.17424,1.44
40,09 16:03,1.17432,1.17446,1.17454,1.17432,1.12
41,09 16:04,1.17444,1.17456,1.17458,1.1744,0.68
42,09 16:05,1.17458,1.17472,1.17479,1.17452,1.56
43,09 16:06,1.1747,1.17472,1.17478,1.1746,1.61
44,09 16:07,1.17472,1.17486,1.17486,1.17466,1.74
45,09 16:08,1.17486,1.17486,1.17493,1.17478,1.28
46,09 16:09,1.17485,1.17494,1.17499,1.17478,1.38
47,09 16:10,1.17494,1.17496,1.17496,1.17486,0.79
48,09 16:11,1.17498,1.17488,1.175,1.17484,0.53
49,09 16:12,1.17489,1.17484,1.17491,1.17464,2.0
50,09 16:13,1.17484,1.17484,1.1749,1.17472,1.99
51,09 16:14,1.17484,1.17481,1.17485,1.17477,1.68
52,09 16:15,1.17484,1.1749,1.17496,1.17482,1.37
53,09 16:16,1.17491,1.17492,1.17495,1.17485,0.8
54,09 16:17,1.17488,1.17478,1.1749,1.17476,0.88
55,09 16:18,1.17478,1.17478,1.17494,1.17474,1.47
56,09 16:19,1.17478,1.17476,1.17478,1.17465,1.01
57,09 16:20,1.17474,1.17482,1.17486,1.1747,0.6
58,09 16:21,1.17482,1.17484,1.17488,1.1748,0.4
59,09 16:22,1.17483,1.17494,1.17496,1.17483,0.81
60,09 16:23,1.17494,1.17494,1.17496,1.17492,0.61
61,09 16:24,1.17495,1.175,1.17502,1.17494,0.69
62,09 16:25,1.175,1.17492,1.175,1.17492,0.6
63,09 16:26,1.17492,1.17494,1.17498,1.17486,1.1
64,09 16:27,1.17494,1.17498,1.17502,1.17494,0.54
65,09 16:28,1.17496,1.17508,1.17511,1.17496,0.52
66,09 16:29,1.1751,1.17491,1.1751,1.1749,0.82
67,09 16:30,1.17493,1.17474,1.17504,1.17472,2.39
68,09 16:31,1.17475,1.17472,1.1748,1.17466,1.02
69,09 16:32,1.17472,1.17468,1.17472,1.17458,1.21
70,09 16:33,1.17468,1.1747,1.17474,1.17458,1.15
71,09 16:34,1.17469,1.17446,1.17471,1.17444,1.36
72,09 16:35,1.17446,1.17452,1.17459,1.17439,0.85
73,09 16:36,1.1745,1.17452,1.17464,1.1745,0.9
74,09 16:37,1.17452,1.17442,1.17456,1.17438,0.52
75,09 16:38,1.17446,1.17456,1.17456,1.17433,1.4
76,09 16:39,1.17456,1.17448,1.17472,1.17444,2.03
77,09 16:40,1.1745,1.1745,1.17452,1.17439,0.88
78,09 16:41,1.1745,1.17422,1.17454,1.17418,1.76
79,09 16:42,1.17423,1.17448,1.1745,1.17418,1.36
80,09 16:43,1.17447,1.17448,1.17448,1.17434,1.09
81,09 16:44,1.17448,1.17427,1.17449,1.17426,0.88
82,09 16:45,1.17428,1.1743,1.17438,1.17424,1.03
83,09 16:46,1.17427,1.1743,1.17432,1.17422,0.97
84,09 16:47,1.17428,1.17444,1.17446,1.17428,0.91
85,09 16:48,1.17442,1.17464,1.17464,1.17441,0.82
86,09 16:49,1.17464,1.17464,1.17466,1.17459,0.92
87,09 16:50,1.17466,1.1747,1.1747,1.1746,0.23
88,09 16:51,1.17468,1.17465,1.1747,1.17455,0.83
89,09 16:52,1.17464,1.1745,1.17464,1.17449,0.64
90,09 16:53,1.17448,1.17442,1.17448,1.17437,0.85
91,09 16:54,1.17442,1.17442,1.17442,1.1744,0.18
92,09 16:55,1.17442,1.17447,1.17448,1.17434,0.5
93,09 16:56,1.1745,1.17442,1.1745,1.1744,0.49
94,09 16:57,1.17443,1.17462,1.17472,1.17439,1.87
95,09 16:58,1.17463,1.1747,1.17484,1.17462,1.3
96,09 16:59,1.17469,1.17468,1.17476,1.17458,1.18
97,09 17:00,1.17468,1.17474,1.17486,1.17464,1.55
98,09 17:01,1.17476,1.1748,1.17482,1.1747,0.95
99,09 17:02,1.1748,1.17464,1.17486,1.17464,0.98
100,09 17:03,1.17464,1.17454,1.17464,1.17447,1.2
101,09 17:04,1.17456,1.17439,1.17461,1.17432,0.73
102,09 17:05,1.1744,1.17438,1.17444,1.17427,0.66
103,09 17:06,1.17439,1.17422,1.17444,1.17418,0.6
104,09 17:07,1.17426,1.17444,1.17446,1.17426,0.75
105,09 17:08,1.17444,1.17384,1.17444,1.17374,1.97
106,09 17:09,1.17388,1.17382,1.17408,1.17379,2.71
107,09 17:10,1.1738,1.17368,1.17385,1.1736,1.98
108,09 17:11,1.17372,1.17382,1.17386,1.1737,1.42
109,09 17:12,1.17381,1.174,1.174,1.17377,1.28
110,09 17:13,1.174,1.17402,1.17404,1.17398,0.33
111,09 17:14,1.17399,1.17412,1.17412,1.17396,1.04
112,09 17:15,1.17412,1.17418,1.17429,1.17403,1.23
113,09 17:16,1.17418,1.17398,1.17418,1.17393,0.51
114,09 17:17,1.17402,1.1739,1.17404,1.1739,0.75
115,09 17:18,1.17388,1.17371,1.17388,1.17367,1.27
116,09 17:19,1.17372,1.17379,1.17384,1.17366,1.25
117,09 17:20,1.1738,1.1737,1.17382,1.1737,0.84
118,09 17:21,1.17374,1.17366,1.17375,1.17359,0.45
119,09 17:22,1.17364,1.17345,1.17364,1.17336,1.38
120,09 17:23,1.1734,1.17332,1.17344,1.17326,1.7
121,09 17:24,1.17336,1.17352,1.17356,1.17333,0.94
122,09 17:25,1.17355,1.17366,1.17366,1.17354,0.14
123,09 17:26,1.17365,1.17345,1.17366,1.17342,0.59
124,09 17:27,1.17341,1.17357,1.17358,1.17332,0.89
